datetime,price
Wed Feb  7 17:48:43 2018,231080.3
Wed Feb  7 17:52:43 2018,231205.87
Wed Feb  7 17:58:41 2018,231739.57
Wed Feb  7 18:02:42 2018,232602.58
Wed Feb  7 18:08:43 2018,231268.28
Wed Feb  7 18:12:43 2018,231413.2
Wed Feb  7 18:18:41 2018,234826.94
Wed Feb  7 18:22:40 2018,235768.57
Wed Feb  7 18:28:42 2018,237467.63
Wed Feb  7 18:32:43 2018,237265.26
Wed Feb  7 18:38:41 2018,237831.24
Wed Feb  7 18:42:41 2018,237707.09
Wed Feb  7 18:48:43 2018,237993.96
Wed Feb  7 18:52:42 2018,238423.39
Wed Feb  7 18:58:40 2018,239408.72
Wed Feb  7 19:02:40 2018,239751.91
Wed Feb  7 19:08:43 2018,241243.83
Wed Feb  7 19:12:43 2018,241542.39
Wed Feb  7 19:18:41 2018,238303.66
Wed Feb  7 19:22:40 2018,238753.8
Wed Feb  7 19:28:42 2018,238373.53
Wed Feb  7 19:32:43 2018,236386.26
Wed Feb  7 19:38:40 2018,236621.19
Wed Feb  7 19:42:40 2018,238023.45
Wed Feb  7 19:48:43 2018,238641.55
Wed Feb  7 19:52:43 2018,238489.96
Wed Feb  7 19:58:40 2018,239430.33
Wed Feb  7 20:02:40 2018,240150.31
Wed Feb  7 20:08:43 2018,237154.51
Wed Feb  7 20:12:43 2018,236802.62
Wed Feb  7 20:18:41 2018,237808.1
Wed Feb  7 20:22:40 2018,237772.63
Wed Feb  7 20:28:42 2018,238497.58
Wed Feb  7 20:32:43 2018,238582.15
Wed Feb  7 20:38:40 2018,240020.72
Wed Feb  7 20:42:40 2018,240188.02
Wed Feb  7 20:48:42 2018,239766.5
Wed Feb  7 20:52:42 2018,239834.98
Wed Feb  7 20:58:40 2018,242199.32
Wed Feb  7 21:02:40 2018,244366.99
Wed Feb  7 21:08:42 2018,245610.65
Wed Feb  7 21:12:43 2018,245200.74
Wed Feb  7 21:18:40 2018,245686.93
Wed Feb  7 21:22:40 2018,246478.9
Wed Feb  7 21:28:42 2018,247958.92
Wed Feb  7 21:32:43 2018,248494.74
Wed Feb  7 21:38:40 2018,246543.1
Wed Feb  7 21:42:40 2018,245266.36
Wed Feb  7 21:48:43 2018,246131.69
Wed Feb  7 21:52:42 2018,247010.54
Wed Feb  7 21:58:40 2018,246284.49
Wed Feb  7 22:02:40 2018,243775.96
Wed Feb  7 22:08:43 2018,243546.69
Wed Feb  7 22:12:43 2018,243998.58
Wed Feb  7 22:18:40 2018,244192.14
Wed Feb  7 22:22:40 2018,243415.52
Wed Feb  7 22:28:42 2018,241916.27
Wed Feb  7 22:32:43 2018,239247.17
Wed Feb  7 22:38:40 2018,238963.04
Wed Feb  7 22:42:40 2018,238671.01
Wed Feb  7 22:48:43 2018,238026.84
Wed Feb  7 22:52:42 2018,238192.66
Wed Feb  7 22:58:40 2018,239503.8
Wed Feb  7 23:02:40 2018,240686.63
Wed Feb  7 23:08:42 2018,241878.12
Wed Feb  7 23:12:43 2018,241973.16
Wed Feb  7 23:18:40 2018,241073.86
Wed Feb  7 23:22:40 2018,241421.82
Wed Feb  7 23:28:42 2018,239710.81
Wed Feb  7 23:32:42 2018,238978.1
Wed Feb  7 23:38:40 2018,237180.92
Wed Feb  7 23:42:40 2018,236557.44
Wed Feb  7 23:48:43 2018,237080.04
Wed Feb  7 23:52:42 2018,237205.08
Wed Feb  7 23:58:40 2018,236973.1
Thu Feb  8 00:02:41 2018,238133.01
Thu Feb  8 00:08:42 2018,239737.27
Thu Feb  8 00:12:43 2018,239821.54
Thu Feb  8 00:18:41 2018,237299.34
Thu Feb  8 00:22:40 2018,236628.65
Thu Feb  8 00:28:42 2018,236828.39
Thu Feb  8 00:32:43 2018,236067.65
Thu Feb  8 00:38:40 2018,234207.44
Thu Feb  8 00:42:40 2018,233806.94
Thu Feb  8 00:48:43 2018,234415.04
Thu Feb  8 00:52:42 2018,234322.91
Thu Feb  8 00:58:40 2018,235569.66
Thu Feb  8 01:02:41 2018,233866.38
Thu Feb  8 01:08:42 2018,235268.55
Thu Feb  8 01:12:42 2018,236666.49
Thu Feb  8 01:18:40 2018,236899.41
Thu Feb  8 01:22:40 2018,238893.26
Thu Feb  8 01:28:42 2018,240081.01
Thu Feb  8 01:32:42 2018,239294.89
Thu Feb  8 01:38:40 2018,239491.91
Thu Feb  8 01:42:40 2018,240020.75
Thu Feb  8 01:48:43 2018,241973.38
Thu Feb  8 01:52:42 2018,242775.89
Thu Feb  8 01:58:40 2018,242650.78
Thu Feb  8 02:02:40 2018,243061.43
Thu Feb  8 02:08:42 2018,244058.53
Thu Feb  8 02:12:42 2018,245175.77
Thu Feb  8 02:18:40 2018,245262.88
Thu Feb  8 02:22:39 2018,244594.95
Thu Feb  8 02:28:42 2018,243312.94
Thu Feb  8 02:32:42 2018,243210.63
Thu Feb  8 02:38:40 2018,242269.66
Thu Feb  8 02:42:40 2018,242094.51
Thu Feb  8 02:48:42 2018,242567.93
Thu Feb  8 02:52:42 2018,242957.97
Thu Feb  8 02:58:39 2018,242347.38
Thu Feb  8 03:02:40 2018,241062.27
Thu Feb  8 03:08:42 2018,240295.18
Thu Feb  8 03:12:42 2018,240795.56
Thu Feb  8 03:18:40 2018,240895.4
Thu Feb  8 03:22:40 2018,239766.1
Thu Feb  8 03:28:42 2018,239472.68
Thu Feb  8 03:32:43 2018,239739.57
Thu Feb  8 03:38:40 2018,239472.56
Thu Feb  8 03:42:40 2018,238709.29
Thu Feb  8 03:48:42 2018,237525.72
Thu Feb  8 03:52:42 2018,237690.79
Thu Feb  8 03:58:39 2018,238121.2
Thu Feb  8 04:02:40 2018,238025.53
Thu Feb  8 04:08:42 2018,237613.93
Thu Feb  8 04:12:42 2018,237802.15
Thu Feb  8 04:18:40 2018,236784.15
Thu Feb  8 04:22:40 2018,236151.63
Thu Feb  8 04:28:42 2018,235881.8
Thu Feb  8 04:32:42 2018,233717.16
Thu Feb  8 04:38:40 2018,236004.01
Thu Feb  8 04:42:40 2018,236931.81
Thu Feb  8 04:48:42 2018,237344.15
Thu Feb  8 04:52:42 2018,239602.86
Thu Feb  8 04:58:40 2018,239778.09
Thu Feb  8 05:02:40 2018,238674.22
Thu Feb  8 05:08:42 2018,239800.26
Thu Feb  8 05:12:43 2018,240684.72
Thu Feb  8 05:18:40 2018,240442.99
Thu Feb  8 05:22:40 2018,239777.67
Thu Feb  8 05:28:42 2018,239544.31
Thu Feb  8 05:32:42 2018,237471.0
Thu Feb  8 05:38:40 2018,237827.54
Thu Feb  8 05:42:40 2018,237396.45
Thu Feb  8 05:48:42 2018,236481.45
Thu Feb  8 05:52:42 2018,236700.68
Thu Feb  8 05:58:40 2018,237963.34
Thu Feb  8 06:02:40 2018,236667.56
Thu Feb  8 06:08:42 2018,236025.75
Thu Feb  8 06:12:43 2018,236063.41
Thu Feb  8 06:18:40 2018,234912.74
Thu Feb  8 06:22:39 2018,234976.47
Thu Feb  8 06:28:42 2018,234403.16
Thu Feb  8 06:32:42 2018,231283.0
Thu Feb  8 06:38:40 2018,230708.67
Thu Feb  8 06:42:40 2018,230901.96
Thu Feb  8 06:48:42 2018,229081.65
Thu Feb  8 06:52:42 2018,228762.28
Thu Feb  8 06:58:39 2018,228207.4
Thu Feb  8 07:02:40 2018,228516.94
Thu Feb  8 07:08:42 2018,226399.7
Thu Feb  8 07:12:42 2018,225773.1
Thu Feb  8 07:18:40 2018,225220.71
Thu Feb  8 07:22:40 2018,224695.99
Thu Feb  8 07:28:42 2018,225015.82
Thu Feb  8 07:32:42 2018,224115.5
Thu Feb  8 07:38:40 2018,223364.64
Thu Feb  8 07:42:40 2018,222753.77
Thu Feb  8 07:48:42 2018,222736.13
Thu Feb  8 07:52:41 2018,223328.79
Thu Feb  8 07:58:39 2018,221848.98
Thu Feb  8 08:02:40 2018,222080.82
Thu Feb  8 08:08:42 2018,224670.24
Thu Feb  8 08:12:42 2018,225023.35
Thu Feb  8 08:18:40 2018,225252.94
Thu Feb  8 08:22:40 2018,226062.58
Thu Feb  8 08:28:42 2018,227757.44
Thu Feb  8 08:32:42 2018,228219.36
Thu Feb  8 08:38:40 2018,226808.98
Thu Feb  8 08:42:40 2018,226567.87
Thu Feb  8 08:48:42 2018,227209.83
Thu Feb  8 08:52:41 2018,227298.64
Thu Feb  8 08:58:39 2018,227247.24
Thu Feb  8 09:02:40 2018,225928.49
Thu Feb  8 09:08:42 2018,223821.6
Thu Feb  8 09:12:42 2018,223113.04
Thu Feb  8 09:18:39 2018,223884.85
Thu Feb  8 09:22:39 2018,224415.11
Thu Feb  8 09:28:42 2018,226676.4
Thu Feb  8 09:32:42 2018,227289.96
Thu Feb  8 09:38:40 2018,228211.81
Thu Feb  8 09:42:40 2018,229890.43
Thu Feb  8 09:48:42 2018,230885.79
Thu Feb  8 09:52:41 2018,231232.56
Thu Feb  8 09:58:39 2018,230695.67
Thu Feb  8 10:02:40 2018,231201.42
Thu Feb  8 10:08:42 2018,232775.79
Thu Feb  8 10:12:42 2018,232952.37
Thu Feb  8 10:18:39 2018,235297.08
Thu Feb  8 10:22:39 2018,235070.66
Thu Feb  8 10:28:41 2018,234806.72
Thu Feb  8 10:32:42 2018,233437.24
Thu Feb  8 10:38:39 2018,234092.81
Thu Feb  8 10:42:39 2018,234108.27
Thu Feb  8 10:48:41 2018,236568.43
Thu Feb  8 10:52:41 2018,236943.46
Thu Feb  8 10:58:38 2018,237117.39
Thu Feb  8 11:02:39 2018,236503.16
Thu Feb  8 11:06:41 2018,236847.52
Thu Feb  8 11:08:48 2018,237030.29
Thu Feb  8 11:13:06 2018,235997.43
Thu Feb  8 11:17:16 2018,234590.84
Thu Feb  8 11:23:12 2018,232502.67
Thu Feb  8 11:27:11 2018,234336.79
Thu Feb  8 11:33:14 2018,233633.12
Thu Feb  8 11:37:14 2018,234736.15
