datetime,price
Wed Feb  7 17:48:35 2018,23402.67
Wed Feb  7 17:52:34 2018,23360.77
Wed Feb  7 17:58:32 2018,23435.55
Wed Feb  7 18:02:33 2018,23569.96
Wed Feb  7 18:08:34 2018,23521.68
Wed Feb  7 18:12:35 2018,23543.31
Wed Feb  7 18:18:32 2018,23723.31
Wed Feb  7 18:22:32 2018,23874.32
Wed Feb  7 18:28:33 2018,23999.23
Wed Feb  7 18:32:34 2018,24082.05
Wed Feb  7 18:38:32 2018,24048.21
Wed Feb  7 18:42:32 2018,24047.91
Wed Feb  7 18:48:35 2018,24008.51
Wed Feb  7 18:52:34 2018,24068.72
Wed Feb  7 18:58:32 2018,24135.71
Wed Feb  7 19:02:32 2018,24162.47
Wed Feb  7 19:08:34 2018,24454.63
Wed Feb  7 19:12:34 2018,24455.41
Wed Feb  7 19:18:32 2018,24130.11
Wed Feb  7 19:22:31 2018,24007.93
Wed Feb  7 19:28:34 2018,23862.82
Wed Feb  7 19:32:35 2018,23602.82
Wed Feb  7 19:38:32 2018,23723.7
Wed Feb  7 19:42:32 2018,23838.2
Wed Feb  7 19:48:34 2018,23946.84
Wed Feb  7 19:52:34 2018,23942.42
Wed Feb  7 19:58:31 2018,24099.34
Wed Feb  7 20:02:32 2018,24003.89
Wed Feb  7 20:08:34 2018,23775.28
Wed Feb  7 20:12:34 2018,23723.99
Wed Feb  7 20:18:32 2018,23813.52
Wed Feb  7 20:22:31 2018,23840.27
Wed Feb  7 20:28:34 2018,23827.25
Wed Feb  7 20:32:34 2018,23766.69
Wed Feb  7 20:38:32 2018,23923.6
Wed Feb  7 20:42:32 2018,24068.62
Wed Feb  7 20:48:34 2018,24023.1
Wed Feb  7 20:52:34 2018,24015.0
Wed Feb  7 20:58:32 2018,24275.32
Wed Feb  7 21:02:32 2018,24368.49
Wed Feb  7 21:08:34 2018,24460.76
Wed Feb  7 21:12:34 2018,24412.99
Wed Feb  7 21:18:32 2018,24518.34
Wed Feb  7 21:22:31 2018,24563.07
Wed Feb  7 21:28:33 2018,24677.86
Wed Feb  7 21:32:34 2018,24739.24
Wed Feb  7 21:38:32 2018,24525.43
Wed Feb  7 21:42:32 2018,24447.07
Wed Feb  7 21:48:34 2018,24524.63
Wed Feb  7 21:52:34 2018,24566.49
Wed Feb  7 21:58:31 2018,24486.56
Wed Feb  7 22:02:32 2018,24284.74
Wed Feb  7 22:08:34 2018,24356.52
Wed Feb  7 22:12:34 2018,24398.1
Wed Feb  7 22:18:32 2018,24301.06
Wed Feb  7 22:22:31 2018,24183.33
Wed Feb  7 22:28:34 2018,23971.54
Wed Feb  7 22:32:34 2018,23826.49
Wed Feb  7 22:38:32 2018,23842.24
Wed Feb  7 22:42:31 2018,23758.39
Wed Feb  7 22:48:35 2018,23729.63
Wed Feb  7 22:52:34 2018,23774.12
Wed Feb  7 22:58:31 2018,23954.33
Wed Feb  7 23:02:32 2018,24013.3
Wed Feb  7 23:08:34 2018,24150.54
Wed Feb  7 23:12:34 2018,24179.26
Wed Feb  7 23:18:32 2018,24046.57
Wed Feb  7 23:22:32 2018,24023.92
Wed Feb  7 23:28:34 2018,23932.07
Wed Feb  7 23:32:34 2018,23867.02
Wed Feb  7 23:38:32 2018,23557.93
Wed Feb  7 23:42:32 2018,23551.76
Wed Feb  7 23:48:34 2018,23558.62
Wed Feb  7 23:52:34 2018,23573.48
Wed Feb  7 23:58:31 2018,23594.86
Thu Feb  8 00:02:32 2018,23721.96
Thu Feb  8 00:08:34 2018,23876.05
Thu Feb  8 00:12:34 2018,23871.2
Thu Feb  8 00:18:32 2018,23589.92
Thu Feb  8 00:22:31 2018,23579.23
Thu Feb  8 00:28:33 2018,23614.97
Thu Feb  8 00:32:34 2018,23516.81
Thu Feb  8 00:38:32 2018,23440.53
Thu Feb  8 00:42:32 2018,23453.96
Thu Feb  8 00:48:34 2018,23505.83
Thu Feb  8 00:52:33 2018,23515.9
Thu Feb  8 00:58:32 2018,23561.85
Thu Feb  8 01:02:32 2018,23521.14
Thu Feb  8 01:08:34 2018,23593.9
Thu Feb  8 01:12:34 2018,23717.32
Thu Feb  8 01:18:31 2018,23833.08
Thu Feb  8 01:22:31 2018,23996.18
Thu Feb  8 01:28:34 2018,24147.37
Thu Feb  8 01:32:34 2018,24083.95
Thu Feb  8 01:38:31 2018,24156.45
Thu Feb  8 01:42:32 2018,24204.01
Thu Feb  8 01:48:34 2018,24388.79
Thu Feb  8 01:52:33 2018,24388.79
Thu Feb  8 01:58:31 2018,24354.58
Thu Feb  8 02:02:32 2018,24404.25
Thu Feb  8 02:08:34 2018,24570.05
Thu Feb  8 02:12:34 2018,24628.54
Thu Feb  8 02:18:31 2018,24627.51
Thu Feb  8 02:22:31 2018,24548.45
Thu Feb  8 02:28:34 2018,24441.19
Thu Feb  8 02:32:34 2018,24420.83
Thu Feb  8 02:38:31 2018,24302.6
Thu Feb  8 02:42:32 2018,24281.76
Thu Feb  8 02:48:34 2018,24308.1
