datetime,price
Wed Feb  7 17:48:44 2018,28168.91
Wed Feb  7 17:52:43 2018,28168.91
Wed Feb  7 17:58:42 2018,28204.01
Wed Feb  7 18:02:43 2018,28293.76
Wed Feb  7 18:08:44 2018,28293.76
Wed Feb  7 18:12:45 2018,28293.76
Wed Feb  7 18:18:42 2018,28293.76
Wed Feb  7 18:22:41 2018,28293.76
Wed Feb  7 18:28:43 2018,28902.82
Wed Feb  7 18:32:44 2018,28957.82
Wed Feb  7 18:38:41 2018,28936.5
Wed Feb  7 18:42:42 2018,28928.08
Wed Feb  7 18:48:44 2018,28945.52
Wed Feb  7 18:52:43 2018,29014.95
Wed Feb  7 18:58:41 2018,29092.98
Wed Feb  7 19:02:42 2018,29162.39
Wed Feb  7 19:08:44 2018,29162.39
Wed Feb  7 19:12:44 2018,29162.39
Wed Feb  7 19:18:42 2018,29162.39
Wed Feb  7 19:22:41 2018,29162.39
Wed Feb  7 19:28:43 2018,28887.99
Wed Feb  7 19:32:44 2018,28781.53
Wed Feb  7 19:38:41 2018,28655.07
Wed Feb  7 19:42:41 2018,28850.32
Wed Feb  7 19:48:44 2018,28936.74
Wed Feb  7 19:52:43 2018,28942.7
Wed Feb  7 19:58:41 2018,29097.48
Wed Feb  7 20:02:41 2018,29097.48
Wed Feb  7 20:08:44 2018,29097.48
Wed Feb  7 20:12:44 2018,29097.48
Wed Feb  7 20:18:41 2018,29097.48
Wed Feb  7 20:22:41 2018,29097.48
Wed Feb  7 20:28:43 2018,29097.48
Wed Feb  7 20:32:43 2018,29097.48
Wed Feb  7 20:38:41 2018,29091.71
Wed Feb  7 20:42:42 2018,29091.71
Wed Feb  7 20:48:44 2018,29091.71
Wed Feb  7 20:52:43 2018,29091.71
Wed Feb  7 20:58:41 2018,29091.71
Wed Feb  7 21:02:41 2018,29091.71
Wed Feb  7 21:08:43 2018,29091.71
Wed Feb  7 21:12:43 2018,29091.71
Wed Feb  7 21:18:41 2018,29731.91
Wed Feb  7 21:22:41 2018,29731.91
Wed Feb  7 21:28:43 2018,29942.54
Wed Feb  7 21:32:44 2018,29942.54
Wed Feb  7 21:38:41 2018,30055.76
Wed Feb  7 21:42:42 2018,30055.76
Wed Feb  7 21:48:44 2018,30055.76
Wed Feb  7 21:52:43 2018,30055.76
Wed Feb  7 21:58:41 2018,30055.76
Wed Feb  7 22:02:41 2018,30055.76
Wed Feb  7 22:08:44 2018,30055.76
Wed Feb  7 22:12:44 2018,30055.76
Wed Feb  7 22:18:41 2018,30055.76
Wed Feb  7 22:22:41 2018,30055.76
Wed Feb  7 22:28:43 2018,30055.76
Wed Feb  7 22:32:44 2018,30055.76
Wed Feb  7 22:38:41 2018,29065.58
Wed Feb  7 22:42:41 2018,28951.84
